Код,Наименование конкурсной группы,min
01.03.00 (БВО),Компьютерные науки и прикладная математика,261
02.03.02 (БВО),Фундаментальная информатика и информационные технологии,265
05.03.06 (БВО),Экология и природопользование,165
09.03.01 (БВО),Информатика и вычислительная техника,255
09.03.02 (БВО),Информационные системы и технологии,258
09.03.03 (БВО),Прикладная информатика,260
09.03.04 (БВО),Программная инженерия,275
10.05.02 (БВО),Информационная безопасность телекоммуникационных систем,248
11.05.01 (БВО),Радиоэлектронные системы и комплексы,208
12.03.04 (БВО),Биотехнические системы и технологии,210
13.03.01 (БВО),Теплоэнергетика и теплотехника,205
13.03.02 (БВО),Электроэнергетика и электротехника,220
22.03.00 (БВО),Новые материалы и цифровые технологии,205
24.03.04 (БВО),Авиастроение,226
24.05.01 (БВО),"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",224
24.05.02 (БВО),Проектирование авиационных и ракетных двигателей,230
24.05.05 (БВО),Интегрированные системы летательных аппаратов,219
24.05.06 (БВО),Системы управления летательными аппаратами,225
24.05.07 (БВО),Самолёто- и вертолётостроение,220
25.03.01 (БВО),Техническая эксплуатация летательных аппаратов и двигателей,214
27.03.03 (БВО),Системный анализ и управление,231
27.03.04 (БВО),Управление в технических системах,239
27.03.05 (БВО),Инноватика,242
38.03.00 (БВО),Экономика и управление,259
42.03.01 (БВО),Реклама и связи с общественностью,258
45.03.02 (БВО),Лингвистика,263
